序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
106	0010599625	心理勵志	學習。在一起的幸福	鄧惠文	9645												2538	5520	1587																										
107	0010610236	其他	圖解真正用得到的英文	Michael Coughlin等	7890													1336	5701	853																									
108	0010610327	心理勵志	脆弱的力量	布芮尼．布朗	15682																																	3166	10990	1526					
109	0010611170	文學小說	地獄	丹．布朗	22104												0	17917	4187																										
110	0010611218	商業理財	20幾歲，就定位	林茂盛等	6518												0	5721	797																										
111	0010611906	商業理財	30歲後你會站在哪裡？	狄驤	10776													3112	6365	1299																									
112	0010613019	其他	我的心，我的眼，看見台灣	齊柏林	12471												0	10797	1674																										
113	0010613281	商業理財	回話的藝術	鈴木銳智	10469													2313	7182	974																									
114	0010616799	生活旅遊	歐陽靖寫給女生的跑步書	歐陽靖	10422												0	7364	3058																										
115	0010619715	心理勵志	可不可以，你也剛好喜歡我？	肆一	12999													3976	6933	2090																									
116	0010620154	文學小說	遠山的回音	卡勒德．胡賽尼	7913													1027	5756	1130																									
117	0010621601	文學小說	格雷的五十道陰影三部曲	E. L. 詹姆絲	19147																825	1274	14557	1654	837																				
118	0010622651	文學小說	塵土記：羊毛記完結篇	休豪伊	7271													0	5992	1279																									
119	0010624875	其他	歡樂三國志	侯文詠/蔡康永	7833													0	6798	1035																									
120	0010628327	文學小說	分歧者套書	薇若妮卡．羅斯	8355														429	5423	2503																								
121	0010629284	心理勵志	希望回來了	陳雅琳	6301														89	5905	307																								
122	0010630009	心理勵志	夢想這條路踏上了，跪著也要走完。	Peter Su	29775														949	5179	6746	5903	8072	2926																					
123	0010630718	生活旅遊	每週2天輕斷食，2個月瘦8公斤！	宋侑璇	10158														0	6224	3934																								
124	0010631218	商業理財	專注的力量	丹尼爾高曼	6887														0	4581	2306																								
125	0010631507	生活旅遊	我的自由年代 原創小說	三立電視等	4888														152	4426	310																								
126	0010631695	其他	我不敢說，我怕被罵	皮姆．凡赫斯特	9750																					1915	5443	2392																	
127	0010632643	心理勵志	蔡康永的說話之道2	蔡康永	15831														0	8060	4851	2920																							
128	0010633101	其他	特殊傳說Ⅱ：亙古潛夜篇 01	護玄	4499														0	4010	489																								
129	0010633180	生活旅遊	我不是天生瘦	林可彤	8006														0	4933	3073																								
130	0010635550	其他	吃出天生燒油好體質	賴宇凡	16032																	1481	5315	5383	2753	1100																			
131	0010636260	商業理財	跟TED學表達，讓世界記住你	卡曼．蓋洛	11658															2605	5668	3385																							
132	0010638420	文學小說	移動迷宮三部曲套書	詹姆士．達許納	9799															113	5810	3876																							
133	0010640659	其他	靜坐的科學、醫學與心靈之旅	楊定一/楊元寧	13660															453	9790	3417																							
134	0010640858	文學小說	琅琊榜 卷壹	海宴	6496																				191	5098	1207																		
135	0010642124	心理勵志	勇敢，相信愛	百勒絲	7122															0	6559	563																							
136	0010646115	文學小說	S. 【中文版全球獨家收藏盒】	J.J. 亞伯拉罕等	27250															0	13326	8400	5524																						
137	0010647715	其他	勇敢不一樣	黃健庭	6080															0	4927	1153																							
138	0010649196	文學小說	控制	吉莉安．弗琳	9626																106	6910	2610																						
139	0010650343	其他	今天	郝廣才	15390																680	3561	2339	7539	1271																				
140	0010651050	商業理財	從0到1	彼得．提爾等	14167																162	8354	5651																						
141	0010651336	其他	當下善轉	法相山等	12109																0	9189	2920																						
142	0010652274	文學小說	沒有女人的男人們	村上春樹	12790																0	10976	1814																						
143	0010653153	心理勵志	被討厭的勇氣	岸見一郎等	171322																0	13446	13235	18718	19617	18515	20077	11121	15212	12463	15043	8562	5313												
144	0010653472	商業理財	二十一世紀資本論	托瑪．皮凱提	9095																0	5364	3731																						
145	0010654382	文學小說	致我們單純的小美好	趙乾乾	13157																												181	10659	2317										
146	0010656323	其他	轉運造命之道	紫嚴導師	9087																0	6482	2605																						
147	0010658829	其他	宇宙覺士	溫曼英	9964																	3435	6412	117																					
148	0010659582	文學小說	請問侯文詠	侯文詠	28342																	6194	13115	5354	3679																				
149	0010662839	商業理財	為什麼聰明人都用方格筆記本？	高橋政史	16025																	0	6755	6091	3179																				
150	0010663209	其他	靜心舒壓曼陀羅	艾爾貝塔．赫金森	13819																			3885	9296	638																			
151	0010663314	心理勵志	愛	Peter Su	28353																	0	17635	7416	3302																				
152	0010663407	心理勵志	表白	Dorothy	10922																	0	8165	2757																					
153	0010663854	其他	地圖	亞歷珊卓．米契林斯卡等	10345																	0	7519	2826																					
154	0010665936	其他	秘密花園	喬漢娜．貝斯福	96966																		4202	9322	81413	2029																			
155	0010670282	心理勵志	我相信．失敗	陳文茜	7008																		0	5338	1670																				
156	0010671061	其他	奇幻夢境	Amily	18981																			3485	14988	508																			
157	0010672605	生活旅遊	醫生哪有這麼萌	Nikumon	11788																		0	10594	1194																				
158	0010674401	其他	微微一笑很傾城	顧漫	9002																							495	5102	3405															
159	0010679084	其他	也追憶似水年華	洪三雄等	12414																			3417	8900	97																			
160	0010680789	其他	Beautiful Day	朴英美	13079																			141	11937	1001																			
161	0010681477	生活旅遊	蘇發福日記	蘇發福	9959																			0	7551	2408																			
162	0010683075	生活旅遊	一休陪你一起愛瘦身	李一休	38718																			0	13862	10030	6971	5472	2383																
163	0010683076	文學小說	列車上的女孩	珀拉．霍金斯	17674																		0	0	7498	5190	3523	1463																	
164	0010683450	其他	魔法森林	喬漢娜．貝斯福	26187																			0	24510	1677																			
165	0010687533	其他	正是時候讀莊子	蔡璧名	13781																				2421	6641	4719																		
166	0010688153	其他	灣生回家	田中實加（陳宣儒）	9990																				1664	6802	1524																		
167	0010693183	心理勵志	哥教的不是歷史，是人性	呂捷	18932																			0	0	10414	5473	1850	1195																
168	0010693602	文學小說	旅行與讀書	詹宏志	8136																				0	5299	2837																		
169	0010693894	心理勵志	那些電影教我的事	水ㄤ／水某	18170																			0	0	8544	5102	2319	2205																
170	0010699818	生活旅遊	愛上哥們	三立電視等	7278																					0	7129	149																	
171	0010700261	心理勵志	你所煩惱的事，有九成都不會發生	野俊明	8300																					0	5340	2960																	
